Year,Sum of visitors,Millions_foreign,forecastValue,confidenceHighBound,confidenceLowBound,Earliest Date
2016,163631,0.16M,,,,2016-01-01 00:00:00
2017,247179,0.25M,,,,2017-01-01 00:00:00
2018,314788,0.31M,,,,2018-01-01 00:00:00
2019,319300,0.32M,319300,319300,319300,2019-01-01 00:00:00
,,,163631,163631,163631,2020-01-01 00:00:00
,,,247179,247179,247179,2021-01-01 00:00:00
,,,314788,314788,314788,2022-01-01 00:00:00
,,,319300,319300,319300,2023-01-01 00:00:00
,,,163631,163631,163631,2024-01-01 00:00:00
,,,247179,247179,247179,2025-01-01 00:00:00
