Year,Sum of visitors,forecastValue,confidenceHighBound,confidenceLowBound,Earliest Date
2016,23394705,,,,2016-01-01 00:00:00
2017,27160242,,,,2017-01-01 00:00:00
2018,19543651,,,,2018-01-01 00:00:00
2019,13802362,13802362,13802362,13802362,2019-01-01 00:00:00
,,23394705,23394705,23394705,2020-01-01 00:00:00
,,27160242,27160242,27160242,2021-01-01 00:00:00
,,19543651,19543651,19543651,2022-01-01 00:00:00
,,13802362,13802362,13802362,2023-01-01 00:00:00
,,23394705,23394705,23394705,2024-01-01 00:00:00
,,27160242,27160242,27160242,2025-01-01 00:00:00
